SANIDAD,NACIONALISMO,EDUCACIÓN,VIOLENCIA,FEMINISMO,CORRUPCIÓN,FAMILIA,JUSTICIA y LIBERTAD,CULTURA,ECONOMÍA,TRABAJADORES,JUVENTUD,MEDIO AMBIENTE,SISTEMA DEL BIENESTAR,IDEOLOGIAS RADICALES,VALORES A ENSALZAR,GRUPO,RELIGION,AGRAVIOS,SISTEMA PÚBLICO,INMIGRACIÓN,DESCONTENTO SOCIAL ,IDEOLOGÍA NO PEYORATIVA,NOSTALGIA,PROGRESO,DEMOCRACIA
,,,,,,,,,pobres,,,,carro,,,,,,,,,,,,
,,,,,,,,,petróleo,,,,viejos,,,,,,,,,,,,
,,,,,,,,,carbón,,,,abuela,,,,,,,,,,,,
,,,,,,,,,riquezas,,,,cloacas,,,,,,,,,,,,
,,,,,,,,,medios,,,,pensionistas,,,,,,,,,,,,
,,,,,,,,,negocios,,,,abuelas,,,,,,,,,,,,
,,,,,,,,,multinacionales,,,,igualdad,,,,,,,,,,,,
,,,,,,,,,poder,,,,alquiler,,,,,,,,,,,,
,,,,,,,,,,,,,abuelos,,,,,,,,,,,,
,,,,,,,,,,,,,discapacitada,,,,,,,,,,,,
,,,,,,,,,,,,,jubilaciones,,,,,,,,,,,,
,,,,,,,,,,,,,infraestructura,,,,,,,,,,,,
,,,,,,,,,,,,,garantizar,,,,,,,,,,,,
